a,b,c,d,e,text
"0","2327837377","Thu Jun 25 08:50:55 PDT 2009","NO_QUERY","yanomyperez","Just woke up! My stomach hurts bad!! "
"0","2327838010","Thu Jun 25 08:50:58 PDT 2009","NO_QUERY","Lexbeauty","@Naisha03 so u not coming?  http://myloc.me/5BRz"
"0","2327838180","Thu Jun 25 08:50:58 PDT 2009","NO_QUERY","padmeamidala","it makes me very sad and depressed to know my Dad planned to come to Leia's bd party this weekend but will not be there for it. Very sad. "
"0","2327838262","Thu Jun 25 08:50:59 PDT 2009","NO_QUERY","bmath388","-at work till 6ish booo "
"0","2327838512","Thu Jun 25 08:51:00 PDT 2009","NO_QUERY","2big4daCity","damn...i failed the fuck out that test!!! got to stop all the partys "
"0","2327838765","Thu Jun 25 08:51:01 PDT 2009","NO_QUERY","JeniferBaggett","the entry form comes up i fill it out hit submit...and it goes away!  ..."
"0","2327845413","Thu Jun 25 08:51:30 PDT 2009","NO_QUERY","fubar2u_2000","@yummymammy you and me both mammy! "
"0","2327845875","Thu Jun 25 08:51:32 PDT 2009","NO_QUERY","catcaniac","Wishing we could get our kitty already "
"0","2327846305","Thu Jun 25 08:51:34 PDT 2009","NO_QUERY","absolut420Jen","Somehow in the last couple minutes I managed to lose my bus pass! Why do I have to lose every fucking thing?! "
"0","2327846761","Thu Jun 25 08:51:36 PDT 2009","NO_QUERY","djpeachez","@djimpact aww I wish I could go to the party! "
"0","2327847177","Thu Jun 25 08:51:38 PDT 2009","NO_QUERY","LuthiLuk","today is scare-of-water-day !! damn my body smells so bad "
"0","2327847225","Thu Jun 25 08:51:38 PDT 2009","NO_QUERY","truesaiyanangel","I was fast asleep; had 2 b here @8. "
"0","2327848376","Thu Jun 25 08:51:43 PDT 2009","NO_QUERY","bexxaaaaamate","someone new come hang "
"0","2327848690","Thu Jun 25 08:51:45 PDT 2009","NO_QUERY","caaarollin","Eaaaarlay college classes = "
"0","2327848940","Thu Jun 25 08:51:46 PDT 2009","NO_QUERY","harly_rosales","there's a lottanew songs that i have but i only have a 1GB memory card available "
"0","2327849368","Thu Jun 25 08:51:48 PDT 2009","NO_QUERY","BabyC43","Yep... I knew it had to come one day... Back to work it is... "
"0","2327849636","Thu Jun 25 08:51:49 PDT 2009","NO_QUERY","Lozzii_xo","The first years are gone "
"0","2327850240","Thu Jun 25 08:51:52 PDT 2009","NO_QUERY","dominiquebustos","@mattfrostband i'm glad that's working for someone, it sure isn't for me. "
"0","2327851182","Thu Jun 25 08:51:56 PDT 2009","NO_QUERY","akdaguio","I hate working  it takes over my life! I just want to enjoy my summer and get tan"
"0","2327851222","Thu Jun 25 08:51:56 PDT 2009","NO_QUERY","linuxing","This is it. I am off the Internet. I just said LOL instead of actually laughing out loud to my friends joke in person "
"0","2327851509","Thu Jun 25 08:51:57 PDT 2009","NO_QUERY","beccasue37","@DonnieWahlberg plz give away tickets for the dallas, show july 17... i dont' have NO money for tickets this time   i had vip last time"
"0","2327851575","Thu Jun 25 08:51:58 PDT 2009","NO_QUERY","LizzieCharlton","Really struggling with motivation "
"0","2327851779","Thu Jun 25 08:51:59 PDT 2009","NO_QUERY","Lizloz","@dontforgetchaos i went shopping for vodka the other day..but its been a long time and i just couldnt decide which one to get so got none "
"0","2327852187","Thu Jun 25 08:52:01 PDT 2009","NO_QUERY","spamlight","aw lizzy  sorry to hear that!"
"0","2327852507","Thu Jun 25 08:52:02 PDT 2009","NO_QUERY","lydialeung","Less than 2 weeks left "
"0","2327852558","Thu Jun 25 08:52:02 PDT 2009","NO_QUERY","iamjackslie","I'm liking d mix of songs my iPhone is playing 4 mr 2day - i'd love 2 go home now "
"0","2327852763","Thu Jun 25 08:52:03 PDT 2009","NO_QUERY","Rellix","Is both happy and sad at the increase in bit rate of spotify. Happy because it sounds good sad because he cant browse the web at work "
"0","2327853021","Thu Jun 25 08:52:04 PDT 2009","NO_QUERY","furley","A little girl dropped her orange juice on my bag during the flight. "
"0","2327853148","Thu Jun 25 08:52:05 PDT 2009","NO_QUERY","kvdeavours","is TRYING to study but its DEF. not working! I'm gonna fail this test! "
"0","2327853156","Thu Jun 25 08:52:05 PDT 2009","NO_QUERY","IAMtheTruButter","@iamRenesia I feel sooooo sick. I really should have left Milan "
"0","2327853431","Thu Jun 25 08:52:06 PDT 2009","NO_QUERY","splashandgojen","@EAJosh @EADave i wish I could come to a show, but you aren't coming to Wisconsin "
"0","2327853468","Thu Jun 25 08:52:06 PDT 2009","NO_QUERY","Haarlz","@georgiakain theyres like no shops online that ccpt paypal though cept ebay "
"0","2327853931","Thu Jun 25 08:52:08 PDT 2009","NO_QUERY","MissyWard","@ItsJonLevine @shareasalenews I am completely offended    ok, not really."
"0","2327854130","Thu Jun 25 08:52:09 PDT 2009","NO_QUERY","fairy_free","@Snolly I'll have that in mind... Alla oi epiloges m einai poli limited gmt!!! "
"0","2327854482","Thu Jun 25 08:52:10 PDT 2009","NO_QUERY","CarJoyAtk","So happy I got to wake up to Taylors voice this morning. Sad its going to be a few days before I hear it again.  Missing him so much r ..."
"0","2327855056","Thu Jun 25 08:52:13 PDT 2009","NO_QUERY","Kelly71Girl","Love the nice weather finally,sux that the ac died "
"0","2327855111","Thu Jun 25 08:52:13 PDT 2009","NO_QUERY","christina_fresh","One year went by so fast. Still hard to believe you're gone. RIP Brittany Elise Hogan. I miss you SO much. "
"0","2327855290","Thu Jun 25 08:52:14 PDT 2009","NO_QUERY","tiffett","How do I find out what style of glasses will suit my face, my personality AND my work environtment? Blergh, I need a glasses guide. "
"0","2327855421","Thu Jun 25 08:52:15 PDT 2009","NO_QUERY","jeanaabeanaa","Idk why I'm so tired all the time "
"0","2327856119","Thu Jun 25 08:52:18 PDT 2009","NO_QUERY","_Hunny_Bunny_","@peterfacinelli the &quot;enter to win&quot; site is &quot;offline&quot;.... too many people entering... I cant enter **cry**   ♥"
"0","2327856438","Thu Jun 25 08:52:19 PDT 2009","NO_QUERY","beccasetz","Total network outage at work = work not getting done anywhere.  Ugh"
"0","2327856531","Thu Jun 25 08:52:20 PDT 2009","NO_QUERY","kmueth421","TwitterBerry isn't working for some reason. This makes me sad. "
"0","2327856608","Thu Jun 25 08:52:20 PDT 2009","NO_QUERY","lillamb09","Loved seeing my old team! Miss them. "
"0","2327856665","Thu Jun 25 08:52:20 PDT 2009","NO_QUERY","KidKJ_21","@MariPeneh well...where where you! "
"0","2327856895","Thu Jun 25 08:52:21 PDT 2009","NO_QUERY","sporrana","@aherne148 eenie meanie!  only one! ;) dont think it'll be a yes yes yes! lol"
"0","2327857125","Thu Jun 25 08:52:22 PDT 2009","NO_QUERY","khs_softballer","Playing with the pups. Hard to believe that they're 6weeks! They're gone this saturday  ~Thumper~"
"0","2327857147","Thu Jun 25 08:52:22 PDT 2009","NO_QUERY","bella212912","@peterfacinelli ok i tried to sign up like 3 times after putting in my information it keeps saying the site is offline  whats going on?"
"0","2327857457","Thu Jun 25 08:52:24 PDT 2009","NO_QUERY","BridgetteH","hmm didnt even get a smile or a hello quite unusal NOT! omg i proper fucked it all up yesterday "
"0","2327857918","Thu Jun 25 08:52:26 PDT 2009","NO_QUERY","SoloSky","is eating applesauce with a fork.  This is not really a fantastic idea.  "
"0","2327858631","Thu Jun 25 08:52:29 PDT 2009","NO_QUERY","schaeferj89","@MTVBuzzworthy i was at the movies today and in the toilet cubicle it said &quot;elmo was here&quot; on the wall - i didnt have my camera though "
"0","2327858869","Thu Jun 25 08:52:30 PDT 2009","NO_QUERY","tonfaone","-gasp- Finch is having a free show at the Glasshouse tonight...! "
"0","2327859034","Thu Jun 25 08:52:31 PDT 2009","NO_QUERY","Ellie_mcgrath91","@Julianneianne HAA me too at half 5  cba"
"0","2327859278","Thu Jun 25 08:52:32 PDT 2009","NO_QUERY","ces1982","@otaliaefic yes we do need more happy fic!! All the angst is killing me  but I'm loving where critical mass is right now hehehehe"
"0","2327859614","Thu Jun 25 08:52:33 PDT 2009","NO_QUERY","jenanne76","Saying goodbye is even harder when it's with a 5 year old. "
"0","2327859738","Thu Jun 25 08:52:34 PDT 2009","NO_QUERY","aubrisaywhattt","Naptime with anferney before work "
"0","2327859935","Thu Jun 25 08:52:35 PDT 2009","NO_QUERY","hexenwulf","@Fuzzy_Goldfish I can't. I hurt too much.  can't take anything either, because I did at 2/3 when I went to bed. &lt;cries&gt;"
"0","2327860182","Thu Jun 25 08:52:36 PDT 2009","NO_QUERY","anividtrisha","@realbrookewhite wow! international fans? that would be cool! how i wish i could go there too. "
"0","2327860268","Thu Jun 25 08:52:36 PDT 2009","NO_QUERY","miss_smidge","@lastyearsgirl_ i was just thinking about it, but im shattered, so i think i might go home and crash "
"0","2327860584","Thu Jun 25 08:52:38 PDT 2009","NO_QUERY","pdurham","@sweetemmaxxx *sigh* I know...not even lunch yet "
"0","2327861072","Thu Jun 25 08:52:40 PDT 2009","NO_QUERY","HMXAlakaiser","@megadestructo I was so disappointed when I realized the name of that song wasn't &quot;Well thought out Twinkees&quot; "
"0","2327861439","Thu Jun 25 08:52:41 PDT 2009","NO_QUERY","tomNmusic","I just smelled this Guess by Marciano Gotta get it!!!! I guess i'm gonna give up the polo double black  til fall that is."
